"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"128",128,"2/23 John Street Granville 2142",3,NA,NA,466000,"2013-03-01",-33.8391162845488,151.008751835212,785.109472542868
"129",129,"13/26 Elizabeth Street Granville 2142",3,1,1,430000,"2013-02-01",-33.8384619931869,151.00782580255,758.156873478577
"130",130,"1/15 Marsden Street Granville 2142",2,1,1,298000,"2012-12-01",-33.8258221251079,151.000237917062,1323.75470744781
"131",131,"9/23 Elizabeth Street Granville 2142",3,2,2,498000,"2012-12-01",-33.8377490285028,151.008740854919,647.582394105911
"132",132,"2/143 Blaxcell Street Granville 2142",3,2,2,4e+05,"2012-11-28",-33.8450683159032,151.01027390501,1397.11246145855
"133",133,"9/104-110 Elizabeth Street Granville 2142",3,2,2,425000,"2012-09-24",-33.8375569991011,151.001992333216,1077.41268283089
"134",134,"2/43 Crown Street Granville 2142",2,2,1,370000,"2012-09-14",-33.8256963546508,150.995455873662,1712.06568244794
"135",135,"5/166-168 The Trongate Granville 2142",3,2,2,458000,"2012-07-31",-33.8451853691811,151.01104260935,1403.79079352384
"136",136,"5/166 The Trongate Granville 2142",3,2,2,458000,"2012-07-31",-33.8451853691811,151.01104260935,1403.79079352384
"137",137,"7/54 William Street Granville 2142",2,1,1,350000,"2012-07-25",-33.8365131587891,151.011875602888,435.762686363722
"138",138,"7/335-339 Blaxcell Street Granville 2142",3,2,2,390000,"2012-07-14",-33.8560227508918,151.008054963782,2632.79689645462
"139",139,"7/335-339 Blaxcell St Granville 2142",3,2,2,390000,"2012-07-14",-33.8560227508918,151.008054963782,2632.79689645462
"140",140,"5/43 Crown Street Granville 2142",2,1,1,6e+05,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"141",141,"1/43 Crown Street Granville 2142",2,2,1,620000,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"142",142,"4/43 Crown Street Granville 2142",2,2,1,615000,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"143",143,"1/92-94 Clyde Street Granville 2142",3,2,1,415000,"2012-06-29",-33.8422258029888,151.013233387383,1077.59128540409
