"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"226","1/20 HEVINGTON RD Auburn 2144",2,2,1,599000,2015-07-28,-33.8601676439215,151.034266516117,1249.57855215764
"227","2/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,585000,2015-07-15,-33.8600562903378,151.032106751125,1232.96332852798
"228","3/57 Harrow Rd Auburn 2144",2,1,1,615000,2015-06-17,-33.8557431306018,151.030135746594,792.949578737567
"229","5/38 ST JOHNS ROAD Auburn 2144",3,2,2,695000,2015-06-04,-33.8713482645673,151.019380675172,2784.051224968
"230","1/40 ST JOHNS ROAD Auburn 2144",4,2,2,680000,2015-06-04,-33.8713198499155,151.019171714326,2789.958153938
"231","1/27 HARGRAVE ROAD Auburn 2144",3,4,NA,717000,2015-06-04,-33.8604194362929,151.032031984549,1273.73600200917
"232","5/38 ST JOHNS ROAD Auburn 2144",3,2,2,695000,2015-05-20,-33.8713482645673,151.019380675172,2784.051224968
"233","2/14 Kennington Oval Auburn 2144",3,2,2,625000,2015-05-15,-33.8727518561635,151.022900403954,2800.96373054896
"234","100/95 Station Rd Auburn 2144",5,2,1,615000,2015-04-14,-33.8446405454747,151.040025637969,818.241408903085
"235","2/33 Macquarie Road Auburn 2144",2,1,1,470000,2015-04-02,-33.8456274726641,151.034940672589,420.168582028118
"236","6 Castle St Auburn 2144",3,3,2,710000,2015-03-31,-33.8740583434114,151.020077127507,3030.87471328624
"237","2/124 Park Road Auburn 2144",3,1,1,610000,2015-03-18,-33.8594168349446,151.028672517756,1223.68318852279
"238","22/277 PARK ROAD Auburn 2144",3,1,1,538000,2015-03-16,-33.8706394489252,151.025656876632,2500.21326241141
"239","17/17-21 Kirkham Rd Auburn 2144",3,1,2,640000,2015-03-13,-33.8720158412457,151.020772993109,2796.62026797535
"240","5/128 Auburn Rd Auburn 2144",3,1,2,658000,2015-03-06,-33.858837310159,151.031968030628,1098.46839914172
"241","3 Prairie Way Auburn 2144",2,1,1,486000,2015-03-04,-33.8736607478343,151.018073517372,3068.32431913727
"242","1/40 ST JOHNS ROAD Auburn 2144",4,2,2,680000,2015-02-26,-33.8713198499155,151.019171714326,2789.958153938
"243","6/128 Auburn Road Auburn 2144",3,1,1,631000,2015-02-14,-33.8585286884841,151.031541391756,1068.1388128982
"244","12/17-21 Kirkham Road Auburn 2144",2,2,1,540000,2015-01-24,-33.8720158412457,151.020772993109,2796.62026797535
"245","17-21 Kirkham Road Auburn 2144",2,2,1,530000,2015-01-24,-33.8720158412457,151.020772993109,2796.62026797535
"246","4/27 Cockthorpe Road Auburn 2144",4,4,2,888000,2015-01-05,-33.8602434582358,151.036894075124,1304.9433823572
"247","4/5 New Street Auburn 2144",2,2,1,515000,2014-12-16,-33.864862096433,151.023547319241,1966.06938721746
"248","4/7 Queen Street Auburn 2144",2,1,1,430000,2014-12-01,-33.8534161885518,151.034665075613,517.982674703105
"249","5/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,496000,2014-11-14,-33.8600562903378,151.032106751125,1232.96332852798
"250","4/17-21 Kirkham Rd Auburn 2144",3,3,2,543000,2014-11-07,-33.8720158412457,151.020772993109,2796.62026797535
"251","2/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-10-24,-33.8720665517599,151.023033760033,2724.91658939584
"252","3/6 Kennington Oval Auburn 2144",4,3,2,750000,2014-10-23,-33.8720665517599,151.023033760033,2724.91658939584
"253","19/17-21 Kirkham Road Auburn 2144",2,1,1,520000,2014-10-20,-33.8720158412457,151.020772993109,2796.62026797535
"254","19/17-21 Kirkham Road Auburn 2144",2,1,1,517000,2014-10-20,-33.8720158412457,151.020772993109,2796.62026797535
"255","1/23 Elsham Road Auburn 2144",3,1,1,515000,2014-10-08,-33.8604346913567,151.034795749483,1284.91186134776
"256","4/128 Auburn Road Auburn 2144",3,1,1,578000,2014-09-29,-33.8588287606178,151.031904076707,1097.99955047668
"257","7/7-9 Helena Street Auburn 2144",3,2,2,645000,2014-09-26,-33.8573922281421,151.036245483456,984.082754260867
"258","2/39 Park Road Auburn 2144",3,2,1,721000,2014-09-20,-33.8530296989964,151.029482544879,548.677684012506
"259","5/24 Norval Street Auburn 2144",4,2,2,550500,2014-09-15,-33.8599075115565,151.034442368445,1222.5618752164
"260","2/14A Kennington Oval Auburn 2144",3,3,1,544000,2014-09-13,-33.8728715916504,151.022877186082,2814.25496530621
"261","3/7 Helena ST Auburn 2144",3,2,2,580000,2014-08-30,-33.8573922281421,151.036245483456,984.082754260867
"262","4/6 Kennington Oval Auburn 2144",4,3,2,755000,2014-08-29,-33.8720665517599,151.023033760033,2724.91658939584
"263","1/6 Kennington Oval Auburn 2144",4,3,2,748000,2014-08-22,-33.8720665517599,151.023033760033,2724.91658939584
"264","4/29 St Johns Rd Auburn 2144",3,2,1,517500,2014-08-21,-33.87105196429,151.022325824491,2642.265415854
"265","2/20 Albert Rd Auburn 2144",3,1,1,563000,2014-08-21,-33.868617063327,151.023897766612,2336.94942773444
"266","1/17 - 21 Kirkham Road Auburn 2144",2,2,1,538000,2014-08-18,-33.8720158412457,151.020772993109,2796.62026797535
"267","4/27-29 Louisa Street Auburn 2144",3,2,2,640000,2014-08-15,-33.8572866999811,151.035094145236,944.509581324489
"268","5/27-29 Louisa Street Auburn 2144",3,2,2,645000,2014-08-08,-33.8572866999811,151.035094145236,944.509581324489
"269","10/277 PARK ROAD Auburn 2144",3,1,1,455000,2014-08-02,-33.8706394489252,151.025656876632,2500.21326241141
"270","4/9A-11 Louisa St Auburn 2144",3,1,1,530000,2014-07-30,-33.8563190930785,151.035322635917,844.980192905433
"271","10/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,515000,2014-07-25,-33.8600562903378,151.032106751125,1232.96332852798
"272","5/6 Kennington Oval Auburn 2144",4,3,2,750000,2014-07-16,-33.8720665517599,151.023033760033,2724.91658939584
"273","6/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-07-11,-33.8720665517599,151.023033760033,2724.91658939584
"274","2/14 Kennington Oval Auburn 2144",3,2,2,486000,2014-06-24,-33.8727518561635,151.022900403954,2800.96373054896
"275","4/57 Harrow Road Auburn 2144",2,1,1,470000,2014-06-20,-33.8557431306018,151.030135746594,792.949578737567
"276","28 Elsham Road Auburn 2144",4,2,2,676000,2014-06-18,-33.8605761778823,151.03583569221,1316.9218263284
"277","5/58-60 Helena Street Auburn 2144",3,1,2,560000,2014-06-13,-33.8574468362413,151.030924232225,957.873668146217
"278","13/21 Hargrave Road Auburn 2144",3,1,1,465000,2014-05-22,-33.8600562903378,151.032106751125,1232.96332852798
"279","2/27-29 Louisa street Auburn 2144",4,2,2,710000,2014-05-15,-33.8572866999811,151.035094145236,944.509581324489
"280","2/167 Rawson St Auburn 2144",4,1,1,575000,2014-05-10,-33.846597300771,151.030862289961,327.155143369656
"281","12/1 Kennington Oval Auburn 2144",3,2,1,5e+05,2014-04-29,-33.8719987421632,151.021853839523,2756.32197280564
"282","Unit 3/72 Water Street Auburn 2144",3,2,1,585000,2014-04-21,-33.8612766954402,151.033900478405,1369.76159602614
"283","3/1a Raglan road Auburn 2144",2,1,1,480000,2014-04-10,-33.8737999712461,151.024983809807,2856.05460780517
"284","4/30-32 St Johns Road Auburn 2144",3,2,2,625000,2014-03-25,-33.8714475063008,151.020110990396,2764.38955490545
"285","1/55 Northumberland Road Auburn 2144",3,2,1,510000,2014-03-20,-33.8461776607885,151.036262247263,441.970797055811
"286","4/30-32 St Johns Road Auburn 2144",3,2,2,625000,2014-03-19,-33.8714475063008,151.020110990396,2764.38955490545
"287","11/1-3 KENNINGTON OVAL Auburn 2144",3,2,1,510000,2014-03-03,-33.8719987421632,151.021853839523,2756.32197280564
"288","6/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-02-20,-33.8720665517599,151.023033760033,2724.91658939584
"289","8/27-29 Louisa atreet Auburn 2144",3,2,2,635000,2014-02-20,-33.8572866999811,151.035094145236,944.509581324489
"290","6/27-29 Louisa Street Auburn 2144",3,2,2,630000,2014-02-20,-33.8572866999811,151.035094145236,944.509581324489
"291","2/273 - 275 Park road Auburn 2144",3,2,2,515000,2014-02-12,-33.8703318330787,151.025674562448,2466.79457924359
"292","1/27-29 Louisa street Auburn 2144",4,2,2,718000,2014-02-12,-33.8572866999811,151.035094145236,944.509581324489
"293","4/24 Cornwall Rd Auburn 2144",3,1,1,540888,2014-01-23,-33.8701159152529,151.025091349625,2458.94814351965
"294","18 Tarakan Street Auburn 2144",3,3,1,593000,2014-01-03,-33.8738606562251,151.019198117321,3043.541272489
"295","6/27-29 Hargrave Road Auburn 2144",2,2,NA,552000,2013-12-10,-33.8604194362929,151.032031984549,1273.73600200917
"296","6/27-29 Hargrave Rd Auburn 2144",4,2,2,552000,2013-12-10,-33.8604194362929,151.032031984549,1273.73600200917
"297","11/273-275 Park road Auburn 2144",3,2,2,498000,2013-12-09,-33.8703318330787,151.025674562448,2466.79457924359
"298","12/17-21 Kirkham Road Auburn 2144",2,1,1,350000,2013-12-08,-33.8720158412457,151.020772993109,2796.62026797535
"299","1/17-21 Kirkham Rd Auburn 2144",3,2,1,535000,2013-12-08,-33.8720158412457,151.020772993109,2796.62026797535
"300","4/17 St Johns Road Auburn 2144",3,1,1,480500,2013-12-07,-33.87121298065,151.02350582882,2620.7902088594
"301","4/17-21 Kirkham Rd Auburn 2144",3,2,2,543000,2013-12-07,-33.8720158412457,151.020772993109,2796.62026797535
"302","3/4 Cockthorpe Rd Auburn 2144",3,2,1,550000,2013-12-07,-33.8585399202344,151.036536335496,1113.91548610351
"303","2/14 Kennington Oval Auburn 2144",3,2,1,880000,2013-12-07,-33.8727518561635,151.022900403954,2800.96373054896
"304","4/9a-11 Louisa St Auburn 2144",3,1,1,530000,2013-12-06,-33.8563190930785,151.035322635917,844.980192905433
"305","320-322 Chisholm Street Auburn 2144",4,2,2,550000,2013-11-26,-33.871464982569,151.017474378933,2878.75897641245
"306","9/45-47 Marion Street Auburn 2144",3,2,2,603000,2013-11-11,-33.856482749738,151.033953284395,838.648007577693
"307","4/5 New Street Auburn 2144",2,1,1,4e+05,2013-11-07,-33.864862096433,151.023547319241,1966.06938721746
"308","4/5 New Street Auburn 2144",2,1,1,4e+05,2013-11-07,-33.864862096433,151.023547319241,1966.06938721746
"309","3/57 Harrow Road Auburn 2144",2,1,1,450000,2013-11-04,-33.8557431306018,151.030135746594,792.949578737567
"310","3/57 Harrow Rd Auburn 2144",2,1,1,450000,2013-11-04,-33.8557431306018,151.030135746594,792.949578737567
"311","24/277 Park rd Auburn 2144",3,1,2,425000,2013-10-30,-33.8706394489252,151.025656876632,2500.21326241141
"312","11/277 Park road Auburn 2144",3,1,2,399000,2013-10-30,-33.8706394489252,151.025656876632,2500.21326241141
"313","1/45 Edgar Street Auburn 2144",3,3,2,525000,2013-10-21,-33.8541757566175,151.023590569861,1035.70122668688
"314","1/42 Helena Street Auburn 2144",4,3,2,699000,2013-10-21,-33.8576023624547,151.032826840427,957.634491947842
"315","4/14 Kennington Oval Auburn 2144",3,2,1,468000,2013-10-18,-33.8727518561635,151.022900403954,2800.96373054896
"316","7/78 Helena Street Auburn 2144",2,1,1,390000,2013-10-14,-33.8570823491817,151.029387075002,956.541182770238
"317","7/78-80 Helena Street Auburn 2144",2,1,1,390000,2013-10-14,-33.8570823491817,151.029387075002,956.541182770238
"318","6/273-275 Park Road Auburn 2144",3,2,1,465000,2013-10-14,-33.8703318330787,151.025674562448,2466.79457924359
"319","5 PALACE STREET Auburn 2144",3,2,2,406000,2013-10-04,-33.8741180225621,151.020569564319,3019.51463288005
"320","10/39 Wellington Road Auburn 2144",2,2,NA,370000,2013-10-01,-33.8647576160099,151.0245913691,1914.91861588952
"321","2/42 Helena Street Auburn 2144",3,3,2,548000,2013-09-30,-33.8576023624547,151.032826840427,957.634491947842
"322","3/187 Wellington Road Auburn 2144",4,2,2,630000,2013-09-06,-33.8654241030409,151.029974478777,1848.21642865896
"323","7/45-47 Marion Street Auburn 2144",3,3,2,579000,2013-08-12,-33.856482749738,151.033953284395,838.648007577693
"324","7/45 Marion Street Auburn 2144",3,3,2,579000,2013-08-12,-33.856482749738,151.033953284395,838.648007577693
"325","1/7 Kennington Oval Auburn 2144",3,2,2,460000,2013-08-06,-33.8724478026258,151.021767170644,2805.74323397359
"326","1/1 Elsham Road Auburn 2144",2,NA,NA,249950,2013-08-01,-33.8583001139845,151.035225657297,1057.37298138636
"327","2/200 Cumberland Road Auburn 2144",3,1,1,480000,2013-07-19,-33.862023271556,151.023600879602,1685.45650705753
"328","6/305 PARK ROAD Auburn 2144",3,2,2,483000,2013-07-16,-33.8735612127341,151.025262843364,2823.81310025901
"329","2/27 Hargrave Road Auburn 2144",4,2,2,513000,2013-07-15,-33.8604194362929,151.032031984549,1273.73600200917
"330","9/21 Hargrave Road Auburn 2144",3,1,1,410000,2013-07-03,-33.8600562903378,151.032106751125,1232.96332852798
"331","9/21-23 Hargrave Road Auburn 2144",3,1,1,410000,2013-07-03,-33.8600562903378,151.032106751125,1232.96332852798
"332","4/8 Elsham Road Auburn 2144",3,2,1,515000,2013-07-03,-33.8587034511653,151.035949686093,1116.37000298432
"333","1/17 St Johns Road Auburn 2144",3,1,2,481000,2013-07-02,-33.87121298065,151.02350582882,2620.7902088594
"334","2/27 Hargrave Road Auburn 2144",4,2,2,513000,2013-07-01,-33.8604194362929,151.032031984549,1273.73600200917
"335","6/45 Edgar Street Auburn 2144",3,2,2,452000,2013-06-12,-33.8541757566175,151.023590569861,1035.70122668688
"336","4/45 Edgar Street Auburn 2144",3,2,2,454000,2013-06-07,-33.8541757566175,151.023590569861,1035.70122668688
"337","6/45 Edgar Street Auburn 2144",3,2,2,452000,2013-06-01,-33.8541757566175,151.023590569861,1035.70122668688
"338","30/18 COCKTHORPE STREET Auburn 2144",4,2,3,568000,2013-05-20,-33.860634809295,151.036097291408,1328.47980800329
"339","30/18 COCKTHORPE STREET Auburn 2144",4,2,NA,568000,2013-05-20,-33.860634809295,151.036097291408,1328.47980800329
"340","2602/57 Queen Street Auburn 2144",3,2,3,1150000,2013-05-02,-33.8498305361019,151.031656140011,147.553706120765
"341","30/18 Cockthorpe Road Auburn 2144",4,2,3,568000,2013-05-01,-33.860634809295,151.036097291408,1328.47980800329
"342","30/28 elsham road Auburn 2144",4,3,3,3e+06,2013-05-01,-33.8605761778823,151.03583569221,1316.9218263284
"343","6/38 St Johns Road Auburn 2144",3,2,2,465000,2013-04-18,-33.8713482645673,151.019380675172,2784.051224968
"344","1/39 Karrabah Road Auburn 2144",2,2,2,395000,2013-03-18,-33.8438658061642,151.032136003967,575.884112437092
"345","5/7-9 Helena Street Auburn 2144",3,2,2,480000,2013-03-18,-33.8573922281421,151.036245483456,984.082754260867
"346","5/7-9 Helena St Auburn 2144",3,2,2,480000,2013-03-18,-33.8573922281421,151.036245483456,984.082754260867
"347","1/39 Karrabah Rd Auburn 2144",2,2,2,395000,2013-03-18,-33.8438658061642,151.032136003967,575.884112437092
"348","5 Kirkham Road Auburn 2144",3,2,2,465000,2013-03-15,-33.8728033629585,151.021678071014,2845.59388157527
"349","1/39-41 Karrabah Road Auburn 2144",2,2,1,395000,2013-03-01,-33.8438658061642,151.032136003967,575.884112437092
"350","5 Kirkham Raod Auburn 2144",3,2,2,959000,2013-03-01,-33.8728033629585,151.021678071014,2845.59388157527
"351","320-322 Chisholm Street Auburn 2144",4,2,2,550000,2013-02-27,-33.871464982569,151.017474378933,2878.75897641245
"352","6/54 St Johns Road Auburn 2144",3,2,2,449000,2013-02-22,-33.8711478113528,151.017906466042,2828.35646122294
"353","6/54 St Johns Road Auburn 2144",3,2,2,449000,2013-02-22,-33.8711478113528,151.017906466042,2828.35646122294
"354","5a Kirkham Road Auburn 2144",3,2,2,470000,2013-02-13,-33.8728033629585,151.021678071014,2845.59388157527
"355","5/40 St John road Auburn 2144",3,2,1,464000,2013-02-12,-33.8713198499155,151.019171714326,2789.958153938
"356","6/23 Elsham Road Auburn 2144",3,2,1,415000,2013-02-07,-33.8604346913567,151.034795749483,1284.91186134776
"357","3/23 Union Road Auburn 2144",3,2,1,455000,2013-01-10,-33.8567773736346,151.026702267596,1038.19678311671
"358","3/23 Union Road Auburn 2144",3,2,1,455000,2013-01-10,-33.8567773736346,151.026702267596,1038.19678311671
"359","5/40 St Johns Road Auburn 2144",3,2,2,469000,2013-01-01,-33.8713198499155,151.019171714326,2789.958153938
"360","1/17 Macquarie Road Auburn 2144",2,1,1,646000,2013-01-01,-33.8472476526384,151.033707275537,208.86077581674
"361","11/114-120 Auburn Road Auburn 2144",3,1,1,385000,2012-12-14,-33.8580309710736,151.032131980654,1007.8272072202
"362","6/11 Kennington Oval Auburn 2144",3,2,3,490000,2012-11-19,-33.8728033629585,151.021678071014,2845.59388157527
"363","1/4 Cockthorpe Road Auburn 2144",3,2,1,465000,2012-11-01,-33.8585399202344,151.036536335496,1113.91548610351
"364","5/38 ST JOHNS ROAD Auburn 2144",3,2,2,468000,2012-10-06,-33.8713482645673,151.019380675172,2784.051224968
"365","5/38 Street JOHNS ROAD Auburn 2144",3,2,2,468000,2012-10-01,-33.8713482645673,151.019380675172,2784.051224968
"366","4/1-3 KENNINGTON OVAL Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"367","4/1 Kennington Oval Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"368","4 / 1-3 KENNINGTON OVAL Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"369","4/275 PARK Road Auburn 2144",3,2,1,405000,2012-08-11,-33.8703318330787,151.025674562448,2466.79457924359
"370","4/275 PARK RD Auburn 2144",3,2,1,405000,2012-08-11,-33.8703318330787,151.025674562448,2466.79457924359
"371","21/17-21 Kirkham Rd Auburn 2144",2,1,1,375000,2012-08-08,-33.8720158412457,151.020772993109,2796.62026797535
"372","7/29 St Johns Road Auburn 2144",3,2,2,806000,2012-08-01,-33.87105196429,151.022325824491,2642.265415854
"373","21/17-21 Kirkham Street Auburn 2144",2,1,1,492500,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"374","4/273 Park Road Auburn 2144",3,2,NA,405000,2012-08-01,-33.8703318330787,151.025674562448,2466.79457924359
"375","22/17-21 Kirkham Road Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"376","22/17 Kirkham Road Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"377","22/17-21 Kirkham Rd Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"378","6/17 St Johns Road Auburn 2144",3,1,2,420000,2012-07-27,-33.87121298065,151.02350582882,2620.7902088594
"379","12/277 Park Road Auburn 2144",3,1,2,388000,2012-07-05,-33.8706394489252,151.025656876632,2500.21326241141
"380","12/277 Park Rd Auburn 2144",3,1,2,388000,2012-07-05,-33.8706394489252,151.025656876632,2500.21326241141
"381","3/28 Elsham Road Auburn 2144",4,2,3,875000,2012-07-01,-33.8605201029501,151.035390110237,1302.90919549108
"382","6/17 Kirkham Road Auburn 2144",3,2,2,425000,2012-07-01,-33.8720158412457,151.020772993109,2796.62026797535
"383","12A/114 AUBURN ROAD Auburn 2144",2,1,1,388000,2012-06-29,-33.8578299311259,151.031899131384,987.288762362853
"384","18/17 Kirkham Road Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"385","18/17-21 Kirkham Road Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"386","18/17-21 Kirkham Rd Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"387","5/17 Kirkham Road Auburn 2144",3,2,2,403000,2012-06-26,-33.8720158412457,151.020772993109,2796.62026797535
"388","5/17-21 KIRKHAM RD Auburn 2144",3,2,2,405000,2012-06-26,-33.8720158412457,151.020772993109,2796.62026797535
"389","4/305-307 Park Road Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"390","4/305 Park Road Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"391","4/305-307 Park Rd Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"392","3/35-37 Elsham Road Auburn 2144",4,2,1,560000,2012-06-20,-33.8610523118922,151.034672451687,1351.62586528711
"393","18/17-21 Kirkham Street Auburn 2144",2,1,1,375000,2012-06-01,-33.8720158412457,151.020772993109,2796.62026797535
"394","15/48 St Hilliers Road Auburn 2144",2,2,1,409000,2012-06-01,-33.8492982433407,151.038142643421,485.826582319433
"395","4/35-37 Elsham Road Auburn 2144",4,2,1,460000,2012-06-01,-33.8610523118922,151.034672451687,1351.62586528711
"396","1/27 Hargrave Road Auburn 2144",4,2,2,460000,2012-05-23,-33.8604194362929,151.032031984549,1273.73600200917
"397","1/27-29 Hargrave Rd Auburn 2144",4,2,2,460000,2012-05-23,-33.8604194362929,151.032031984549,1273.73600200917
"398","8/35 Elsham Road Auburn 2144",2,1,NA,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"399","8/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"400","8/35-39 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"401","8/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"402","4/38 Macquarie Road Auburn 2144",2,1,1,290000,2012-05-01,-33.8457549614114,151.033783383218,370.35358464682
"403","6/21 Hargrave Road Auburn 2144",3,2,1,375000,2012-05-01,-33.8600562903378,151.032106751125,1232.96332852798
"404","35-37 Elsham Road Auburn 2144",2,2,1,485500,2012-05-01,-33.8610523118922,151.034672451687,1351.62586528711
"405","7/57 Harrow Road Auburn 2144",3,2,1,375000,2012-04-23,-33.8557431306018,151.030135746594,792.949578737567
"406","7/57 Harrow Rd Auburn 2144",3,2,1,375000,2012-04-23,-33.8557431306018,151.030135746594,792.949578737567
"407","12/28 Elsham Road Auburn 2144",3,2,1,650000,2012-04-01,-33.8609636313566,151.03557861924,1354.61091686964
"408","29/137 Auburn Road Auburn 2144",2,2,1,310000,2012-04-01,-33.8558033545761,151.031177533339,773.905611528079
"409","4 Olive Way Auburn 2144",2,1,1,528000,2012-04-01,-33.8748227310715,151.020257422244,3103.04996502393
"410","11/181 Auburn Road Auburn 2144",2,1,2,365000,2012-03-23,-33.858219647714,151.030773944701,1044.97692582532
"411","3/35 Wellington Road Auburn 2144",3,2,2,438000,2012-03-23,-33.8647576160099,151.0245913691,1914.91861588952
"412","11/181 Auburn Rd Auburn 2144",2,1,2,365000,2012-03-23,-33.858219647714,151.030773944701,1044.97692582532
"413","3/35-37 Elsham Rd Auburn 2144",4,2,2,560000,2012-03-17,-33.8610523118922,151.034672451687,1351.62586528711
"414","2/35-37 Elsham Road Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"415","2/35-39 Elsham Road Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"416","2/35-37 Elsham Rd Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"417","19/17 Kirkham Road Auburn 2144",2,1,1,380000,2012-03-09,-33.8720158412457,151.020772993109,2796.62026797535
"418","19/17-21 Kirkham Rd Auburn 2144",2,1,1,380000,2012-03-09,-33.8720158412457,151.020772993109,2796.62026797535
"419","3/69 Macquarie Road Auburn 2144",3,1,1,6e+05,2012-03-01,-33.8436909177544,151.036498868389,678.230620062844
"420","3/35-37 Elsham Road Auburn 2144",4,2,2,848000,2012-03-01,-33.8610523118922,151.034672451687,1351.62586528711
"421","5 45 Edgar Street Auburn 2144",3,2,1,415000,2012-03-01,-33.8541757566175,151.023590569861,1035.70122668688
"422","19/17-21 Kirkham Street Auburn 2144",2,1,1,380000,2012-03-01,-33.8720158412457,151.020772993109,2796.62026797535
"423","20/17 Kirkham Road Auburn 2144",2,1,1,390000,2012-02-17,-33.8720158412457,151.020772993109,2796.62026797535
"424","20/17-21 Kirkham Rd Auburn 2144",2,1,1,390000,2012-02-17,-33.8720158412457,151.020772993109,2796.62026797535
"425","5/71 Station Road Auburn 2144",3,2,2,401000,2012-02-10,-33.8454977208029,151.038620998635,657.087688213328
"426","20/17-21 Kirkham Street Auburn 2144",2,1,1,390000,2012-02-01,-33.8720158412457,151.020772993109,2796.62026797535
"427","18 COCKTHORPE RD Auburn 2144",3,2,2,435000,2012-01-30,-33.8606152794606,151.036294349952,1330.53850761484
"428","6/35 Elsham Road Auburn 2144",2,1,NA,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"429","6/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"430","6/35-37 Elsham Rd Auburn 2144",2,2,1,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"431","8/30 St Johns Road Auburn 2144",3,2,2,510000,2012-01-18,-33.8714475063008,151.020110990396,2764.38955490545
"432","8/30-32 St Johns Road Auburn 2144",3,2,2,510000,2012-01-18,-33.8714475063008,151.020110990396,2764.38955490545
"433","5/45 Edgar Street Auburn 2144",3,2,2,705000,2012-01-01,-33.8541757566175,151.023590569861,1035.70122668688
"434","21-23 HARGRAVE Road Auburn 2144",3,1,2,367000,2011-12-25,-33.8600562903378,151.032106751125,1232.96332852798
"435","21-23 HARGRAVE RD Auburn 2144",3,1,2,367000,2011-12-25,-33.8600562903378,151.032106751125,1232.96332852798
"436","4/165 Rawson Street Auburn 2144",3,2,2,395000,2011-12-21,-33.8467175810815,151.031100587468,303.696394673208
"437","4/165 Rawson St Auburn 2144",3,2,2,395000,2011-12-21,-33.8467175810815,151.031100587468,303.696394673208
"438","6/29 St Johns Road Auburn 2144",3,2,2,370000,2011-12-13,-33.87105196429,151.022325824491,2642.265415854
"439","9/30 St Johns Road Auburn 2144",2,2,NA,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"440","9/30-32 St Johns Road Auburn 2144",3,2,2,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"441","9/30-32 St Johns Road Auburn 2144",3,2,2,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"442","4/18 Provincial Street Auburn 2144",3,2,1,469000,2011-12-07,-33.8564130123036,151.026897817397,994.423035014337
"443","4/18 Provincial Street Auburn 2144",3,2,1,469000,2011-12-07,-33.8564130123036,151.026897817397,994.423035014337
"444","4 Embers Way Auburn 2144",2,1,1,432500,2011-12-01,-33.8735656551428,151.017444036443,3085.36748252625
"445","12/35 Harrow Road Auburn 2144",3,2,2,750000,2011-12-01,-33.8537400652905,151.030618376579,568.260584736602
"446","6/29 St Johns Road Auburn 2144",3,2,2,1150000,2011-12-01,-33.87105196429,151.022325824491,2642.265415854
"447","1/23 Union Road Auburn 2144",3,2,4,438000,2011-11-25,-33.8567773736346,151.026702267596,1038.19678311671
"448","57 HARROW Road Auburn 2144",3,1,1,370000,2011-11-21,-33.8557431306018,151.030135746594,792.949578737567
"449","57 HARROW RD Auburn 2144",3,1,1,370000,2011-11-21,-33.8557431306018,151.030135746594,792.949578737567
"450","9/35-39 Deakin Street Auburn 2144",3,2,2,510000,2011-11-21,-33.8406055391955,151.041450645328,1224.01622473663
