"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"156",156,"1/35 Victoria Road Parramatta 2150",3,1,1,430000,"2012-06-25",-33.8093768310777,151.010170723782,1022.94368277426
"157",157,"3/9 Mason Street Parramatta 2150",3,2,2,483000,"2012-06-25",-33.8075671489783,151.017140933444,1575.94026565024
"158",158,"2/25 O'Connell Street Parramatta 2150",2,2,1,360000,"2012-06-12",-33.8053376757565,151.00231403066,1376.50779452063
"159",159,"6/81-83 Thomas Street Parramatta 2150",3,2,2,547000,"2012-06-05",-33.8132067321861,151.020732424697,1531.54188964627
"160",160,"6/81 Thomas Street Parramatta 2150",3,2,2,547000,"2012-06-05",-33.8132067321861,151.020732424697,1531.54188964627
"161",161,"7/68 Hassall Street Parramatta 2150",3,2,2,5e+05,"2012-06-04",-33.818232269873,151.016050712679,1025.27582396538
"162",162,"7/25 O'Connell Street Parramatta 2150",2,2,2,375000,"2012-05-30",-33.8053031423154,151.002089228016,1384.18256702391
"163",163,"6/46-48 Morton Street Parramatta 2150",4,2,2,583000,"2012-05-04",-33.8092705066359,151.01843989036,1544.16370981398
"164",164,"6/46 Morton Street Parramatta 2150",4,2,2,583000,"2012-05-04",-33.8092705066359,151.01843989036,1544.16370981398
"165",165,"10/47 Gladstone Street Parramatta 2150",3,2,2,560000,"2012-04-20",-33.8021578750583,151.014599386144,1924.88674659925
"166",166,"4/11-15 King Street Parramatta 2150",3,1,1,461000,"2012-04-17",-33.8199216005485,150.996924550737,794.015061817508
"167",167,"4/11 King Street Parramatta 2150",3,1,1,461000,"2012-04-17",-33.8199216005485,150.996924550737,794.015061817508
"168",168,"66 Marsden Street Parramatta 2150",4,1,1,510000,"2012-04-14",-33.8218246278455,150.999058918561,730.519223591541
"169",169,"3/68 Hassall Street Parramatta 2150",3,2,2,675000,"2012-03-01",-33.818232269873,151.016050712679,1025.27582396538
"170",170,"8/68 Hassall Street Parramatta 2150",3,2,2,663000,"2012-03-01",-33.818232269873,151.016050712679,1025.27582396538
"171",171,"9/68 Hassall Street Parramatta 2150",3,2,2,665000,"2012-03-01",-33.818232269873,151.016050712679,1025.27582396538
"172",172,"24/1 Rangihou Crescent Parramatta 2150",3,3,2,495000,"2012-03-01",-33.8148302230122,151.014644564602,940.207523778094
"173",173,"5/15 Grandview Street Parramatta 2150",3,3,1,483000,"2012-02-29",-33.8094915793322,151.018966525336,1569.52885118375
"174",174,"5/15-17 Grandview Street Parramatta 2150",3,3,1,483000,"2012-02-29",-33.8094915793322,151.018966525336,1569.52885118375
"175",175,"3/3-5 Irving Street Parramatta 2150",3,2,2,520000,"2012-02-25",-33.8109924848243,151.021438348583,1684.1339044921
"176",176,"3/3 Irving Street Parramatta 2150",3,2,2,520000,"2012-02-25",-33.8109924848243,151.021438348583,1684.1339044921
"177",177,"6/19 King Street Parramatta 2150",2,1,1,425000,"2012-02-22",-33.8204193179591,150.998226511757,705.718443580224
"178",178,"2/125 Victoria Road Parramatta 2150",2,1,1,407000,"2012-02-14",-33.8087686401833,151.014957628686,1339.00832619512
"179",179,"4/46-48 Morton Street Parramatta 2150",4,2,2,567000,"2012-02-10",-33.8092705066359,151.01843989036,1544.16370981398
"180",180,"4/46 Morton Street Parramatta 2150",4,2,2,567000,"2012-02-10",-33.8092705066359,151.01843989036,1544.16370981398
"181",181,"7/3-4 Teale Place Parramatta 2150",3,2,2,620000,"2012-02-04",-33.8058684024378,151.015685757652,1628.92627873468
"182",182,"3/2 Glebe Street Parramatta 2150",2,1,1,390500,"2012-01-28",-33.8202988281009,150.996227260212,869.106691628691
"183",183,"11/75 Victoria Road Parramatta 2150",3,1,1,7e+05,"2011-12-17",-33.8093028188726,151.013811403426,1223.45494855945
"184",184,"1/46-48 Pemberton Street Parramatta 2150",4,2,2,540000,"2011-12-01",-33.8102813641589,151.02096678271,1681.23876683314
"185",185,"3/22 Grandview Street Parramatta 2150",3,2,2,590000,"2011-12-01",-33.809303657063,151.019830448097,1647.41672735502
"186",186,"9/36-40 Morton Street Parramatta 2150",3,2,2,5e+05,"2011-11-18",-33.8097520469733,151.018316676383,1503.62536399962
"187",187,"3/11 Grandview Street Parramatta 2150",3,2,1,453000,"2011-11-10",-33.809873961755,151.018868121793,1538.14785993809
"188",188,"2/46 Pemberton Street Parramatta 2150",4,2,NA,1e+06,"2011-11-01",-33.8102813641589,151.02096678271,1681.23876683314
"189",189,"6/9-11 New Zealand Street Parramatta 2150",3,2,2,480000,"2011-10-28",-33.8141320523872,151.014568792197,961.134922972089
"190",190,"8/11 Tennyson Street Parramatta 2150",3,2,1,465000,"2011-10-19",-33.8121977605914,151.021100893161,1601.86042115702
"191",191,"8/11-13 Tennyson Street Parramatta 2150",3,2,1,465000,"2011-10-19",-33.8121977605914,151.021100893161,1601.86042115702
"192",192,"10/9 New Zealand Street Parramatta 2150",3,1,2,490000,"2011-10-18",-33.814316370438,151.014523027006,949.389501701963
"193",193,"3/15-17 Grandview Street Parramatta 2150",3,3,2,555000,"2011-09-12",-33.8094915793322,151.018966525336,1569.52885118375
"194",194,"2/66 Grose Street Parramatta 2150",3,2,1,549950,"2011-07-14",-33.8057927711894,151.001549265814,1341.75577128358
"195",195,"8/11-15 King Street Parramatta 2150",2,1,1,445000,"2011-07-13",-33.8199216005485,150.996924550737,794.015061817508
"196",196,"8/11 King Street Parramatta 2150",2,1,1,445000,"2011-07-13",-33.8199216005485,150.996924550737,794.015061817508
"197",197,"4/25 O'connell Street Parramatta 2150",2,1,1,345000,"2011-07-01",-33.8053162599939,151.002178411466,1381.16786721178
"198",198,"2/1 King Street Parramatta 2150",2,1,1,380000,"2011-06-30",-33.8197655295114,150.996344439218,839.293715770667
"199",199,"2/1-9 King Street Parramatta 2150",2,1,1,380000,"2011-06-30",-33.8197655295114,150.996344439218,839.293715770667
"200",200,"1/28 Broughton Street Parramatta 2150",3,2,2,531000,"2011-06-01",-33.8133757951732,151.019305321863,1400.46265700496
"201",201,"1/8 Broughton Street Parramatta 2150",3,2,2,129000,"2011-06-01",-33.8131007430205,151.017751400833,1276.99084190813
"202",202,"4/19-21 Grandview Street Parramatta 2150",4,3,1,575000,"2011-05-27",-33.8092383201277,151.019041878646,1591.39629569033
"203",203,"4/19-21 Grandview Street Parramatta 2150",3,2,1,575000,"2011-05-25",-33.8092383201277,151.019041878646,1591.39629569033
"204",204,"3/19-21 Grandview Street Parramatta 2150",3,3,1,555000,"2011-05-18",-33.8092383201277,151.019041878646,1591.39629569033
"205",205,"3/11-13 Tennyson Ave Parramatta 2150",2,1,1,425000,"2011-05-14",-33.8121977605914,151.021100893161,1601.86042115702
"206",206,"4/3-4 Teale Place Parramatta 2150",3,3,2,610000,"2011-05-12",-33.8058684024378,151.015685757652,1628.92627873468
"207",207,"3/11-13 Tennyson Street Parramatta 2150",2,1,1,650000,"2011-05-01",-33.8121977605914,151.021100893161,1601.86042115702
