"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"108",108,"1/529 Merrylands Road Merrylands 2160",3,2,2,691010,"2016-12-16",-33.8308339164736,150.967534999814,2396.26509328236
"109",109,"15/58 Lansdowne Street Merrylands 2160",2,2,2,585500,"2016-12-06",-33.8460994995414,150.991550074421,1095.18616429866
"110",110,"3/9-11 Kimberley Street Merrylands 2160",2,2,1,560000,"2016-10-26",-33.8478275965191,151.000340008643,1469.30428610162
"111",111,"Unit 18/59-61 Neil Street Merrylands 2160",2,1,1,499000,"2016-10-19",-33.8325814175571,150.988503001159,561.136738245937
"112",112,"1/7-9 Charlotte Street Merrylands 2160",3,2,2,690000,"2016-09-15",-33.8434425619633,150.979013764755,1486.68995122366
"113",113,"14/102-104 Lackey Street Merrylands 2160",2,1,1,515000,"2016-08-12",-33.8465962111236,151.001459495631,1408.79649550667
"114",114,"4/7-9 Charlotte Street Merrylands 2160",3,2,2,685100,"2016-08-11",-33.8434425619633,150.979013764755,1486.68995122366
"115",115,"2/7-9 Charlotte Street Merrylands 2160",3,2,1,662000,"2016-07-18",-33.8434425619633,150.979013764755,1486.68995122366
"116",116,"2/7-9 Ellis Street Merrylands 2160",3,2,2,628000,"2016-06-08",-33.8281619333793,150.976974950627,1705.36911017845
"117",117,"18 St Ann Street Merrylands 2160",3,3,1,890000,"2016-05-12",-33.8404900365698,150.988144926256,622.291179222696
"118",118,"21/59 Neil Street Merrylands 2160",2,1,1,480000,"2016-04-12",-33.8325814175571,150.988503001159,561.136738245937
"119",119,"3/35-37 Clarence Street Merrylands 2160",2,2,1,565000,"2016-04-06",-33.8310719625238,150.983258360523,1041.56817999732
"120",120,"7/100 Kenyons Road Merrylands 2160",4,3,2,675000,"2016-03-24",-33.837262333295,150.969239292186,2162.70253612673
"121",121,"23/59-61 Neil Street Merrylands 2160",2,1,1,475000,"2016-03-18",-33.8325814175571,150.988503001159,561.136738245937
"122",122,"14/57 Newman Street Merrylands 2160",2,1,1,540000,"2016-03-11",-33.8373834098863,150.985151580994,699.197630147355
"123",123,"7/6-8 Addlestone Road Merrylands 2160",3,1,1,550000,"2016-02-05",-33.836850614211,150.98742341203,482.562884065052
"124",124,"1/9-11 Kimberely Street Merrylands 2160",2,2,1,510000,"2016-01-16",-33.8478275965191,151.000340008643,1469.30428610162
"125",125,"2/59 Lavinia Street Merrylands 2160",3,2,1,609000,"2015-11-03",-33.8484638667891,151.003853953911,1707.69437954345
"126",126,"1/126 - 128 John Street Merrylands 2160",3,2,2,690000,"2015-10-09",-33.8389196451003,151.000933363568,823.87377140701
"127",127,"41/100 Kenyons Road Merrylands 2160",3,2,2,720000,"2015-09-14",-33.8373087690386,150.96992979337,2099.20571314809
"128",128,"1/6-8 Addlestone Road Merrylands 2160",3,2,2,630000,"2015-08-29",-33.836850614211,150.98742341203,482.562884065052
"129",129,"4/35 Clarence Street Merrylands 2160",2,2,1,585000,"2015-08-21",-33.8310719625238,150.983258360523,1041.56817999732
"130",130,"6/158-160 Railway Terrace Merrylands 2160",3,2,2,628000,"2015-08-07",-33.843564392926,150.991828353606,811.809869752728
"131",131,"1/35 Lansdowne Street Merrylands 2160",3,2,2,950000,"2015-08-01",-33.8455509458881,150.994327082762,1042.11792315145
"132",132,"3/21-23 Yeend Street Merrylands 2160",2,1,1,575888,"2015-07-30",-33.8258688123086,150.987256025424,1261.97078028883
"133",133,"1/49 Edna Avenue Merrylands 2160",2,1,1,561777,"2015-07-29",-33.8411161228275,150.971671049936,2008.04517468791
"134",134,"8/7-9 Ellis Street Merrylands 2160",3,2,1,620000,"2015-07-21",-33.8281619333793,150.976974950627,1705.36911017845
"135",135,"3/8 Carhullen Street Merrylands 2160",3,3,1,675000,"2015-07-18",-33.835740724502,150.997891570906,493.234467992829
"136",136,"3/20-22 Ellis Street Merrylands 2160",3,2,1,630000,"2015-07-15",-33.8267118222205,150.977532933921,1755.11189703345
"137",137,"5/7-9 Ellis Street Merrylands 2160",3,2,2,619000,"2015-07-08",-33.8281619333793,150.976974950627,1705.36911017845
"138",138,"2/26 Military Road Merrylands 2160",3,1,1,517000,"2015-06-24",-33.8398692728206,150.989751569456,476.694668277573
"139",139,"11/17 Willara Avenue Merrylands 2160",3,1,2,590650,"2015-05-27",-33.8282647793313,150.981310992959,1374.70031043666
"140",140,"1/85 Chetwynd Road Merrylands 2160",3,2,1,640000,"2015-05-20",-33.8429325231551,150.979909287291,1386.36778294124
"141",141,"2/8 Carhullen Street Merrylands 2160",3,3,1,640000,"2015-04-29",-33.835740724502,150.997891570906,493.234467992829
"142",142,"17/59-61 Neil Street Merrylands 2160",2,1,1,430000,"2015-04-20",-33.8325814175571,150.988503001159,561.136738245937
"143",143,"2/35-37 Clarence Street Merrylands 2160",3,2,1,585000,"2015-04-17",-33.8310719625238,150.983258360523,1041.56817999732
"144",144,"7/158 Railway Terrace Merrylands 2160",3,2,1,518000,"2015-04-14",-33.843564392926,150.991828353606,811.809869752728
"145",145,"1/1 Willara Avenue Merrylands 2160",3,1,1,615000,"2015-03-06",-33.828633499252,150.982912187922,1237.27663837969
"146",146,"8/21 St. Ann Street Merrylands 2160",2,2,1,524500,"2015-03-04",-33.8397168479113,150.987621308764,597.156095735195
"147",147,"3/17-21 Paton Street Merrylands 2160",2,1,1,408000,"2015-03-04",-33.8351409155108,150.969513128963,2138.64972192027
"148",148,"11/100 Kenyons Road Merrylands 2160",3,2,2,560000,"2015-02-18",-33.8374256127688,150.96939653669,2149.16193628335
"149",149,"5/20-22 Ellis Street Merrylands 2160",3,2,1,605000,"2015-01-19",-33.8267118222205,150.977532933921,1755.11189703345
"150",150,"4/9-11 Kimberley St Merrylands 2160",2,2,1,483000,"2014-12-12",-33.8478275965191,151.000340008643,1469.30428610162
"151",151,"1/158 Railway Terrace Merrylands 2160",3,2,2,510000,"2014-12-05",-33.843564392926,150.991828353606,811.809869752728
"152",152,"2/59 Lavinia Street Merrylands 2160",3,2,1,445000,"2014-11-17",-33.8484638667891,151.003853953911,1707.69437954345
"153",153,"20 Leigh Street Merrylands 2160",4,2,1,670000,"2014-10-30",-33.8423770125221,150.976042128623,1673.77755171607
"154",154,"7/352-356 Merrylands Road Merrylands 2160",3,2,1,522000,"2014-10-13",-33.8348942361003,150.980188907581,1158.22784779622
"155",155,"10/102-106 Lackey Street Merrylands 2160",3,2,2,519900,"2014-10-03",-33.8466295291887,151.001678430942,1423.65607289637
"156",156,"3/102-104 Lackey Street Merrylands 2160",3,2,2,517111,"2014-09-26",-33.8464343984828,151.001734338236,1409.2621412319
