"address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"28 elsham road Auburn 2144",4,3,3,1e+05,2015-10-21,-33.8605761778823,151.03583569221,1316.9218263284
"15/17-21 Kirkham Rd Auburn 2144",3,1,2,718000,2015-09-24,-33.8720158412457,151.020772993109,2796.62026797535
"2/17-21 Kirkham Rd Auburn 2144",3,3,2,650000,2015-09-22,-33.8720158412457,151.020772993109,2796.62026797535
"5/49 Station Road Auburn 2144",3,3,3,685000,2015-09-21,-33.8468924694913,151.037517353444,487.108474446538
"7/57 Harrow Rd Auburn 2144",2,2,1,650000,2015-09-11,-33.8557431306018,151.030135746594,792.949578737567
"9/320 CHISHOLM ROAD Auburn 2144",4,2,2,755000,2015-09-01,-33.871464982569,151.017474378933,2878.75897641245
"3/17 Macquarie Rd Auburn 2144",2,1,1,480000,2015-08-26,-33.8472476526384,151.033707275537,208.86077581674
"3/27-29 Hargrave Rd Auburn 2144",4,2,2,7e+05,2015-08-21,-33.8604194362929,151.032031984549,1273.73600200917
"26 Tarakan Street Auburn 2144",3,2,2,775000,2015-08-15,-33.874115256534,151.019161236947,3070.74273669662
"8/3 St John's Avenue Auburn 2144",3,2,4,770000,2015-08-11,-33.8719751890153,151.023717723332,2694.75702399304
"1/20 HEVINGTON RD Auburn 2144",2,2,1,599000,2015-07-28,-33.8601676439215,151.034266516117,1249.57855215764
"2/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,585000,2015-07-15,-33.8600562903378,151.032106751125,1232.96332852798
"3/57 Harrow Rd Auburn 2144",2,1,1,615000,2015-06-17,-33.8557431306018,151.030135746594,792.949578737567
"5/38 ST JOHNS ROAD Auburn 2144",3,2,2,695000,2015-06-04,-33.8713482645673,151.019380675172,2784.051224968
"1/40 ST JOHNS ROAD Auburn 2144",4,2,2,680000,2015-06-04,-33.8713198499155,151.019171714326,2789.958153938
