"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"130","35 Victoria Road Parramatta 2150",3,1,1,450000,2013-05-23,-33.8098399312281,151.010383791761,0.987458281786929,"(0.75,1]"
"131","12/35 Victoria Road Parramatta 2150",3,1,1,725000,2013-05-04,-33.8097467663743,151.010545311035,1.0039768773121,"(1,1.25]"
"132","2/3 Teale Place Parramatta 2150",3,2,2,605000,2013-04-15,-33.8056807051439,151.016032523949,1.66504544042142,"(1.5,1.75]"
"133","3/28 Broughton Street Parramatta 2150",3,3,1,530000,2013-04-09,-33.8133757951732,151.019305321863,1.40046265700496,"(1.25,1.5]"
"134","1/9 New Zealand Street Parramatta 2150",2,1,1,495000,2013-04-08,-33.8138639153046,151.014654622886,0.980392407911776,"(0.75,1]"
"135","12/19 King Street Parramatta 2150",2,1,1,468000,2013-04-06,-33.820334660737,150.998616270255,0.669432451608952,"(0.5,0.75]"
"136","3/6 Glebe Street Parramatta 2150",2,2,1,445000,2013-04-05,-33.8202504226101,150.99662565207,0.832819266501264,"(0.75,1]"
"137","10/66 Marsden Street Parramatta 2150",3,1,1,535500,2013-02-01,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"138","5/12 Glebe Street Parramatta 2150",3,1,1,695000,2013-02-01,-33.8205409812837,150.996941733638,0.818542670895595,"(0.75,1]"
"139","4/28 Broughton Street Parramatta 2150",3,2,2,530000,2013-01-01,-33.8133757951732,151.019305321863,1.40046265700496,"(1.25,1.5]"
"140","2/8-10 Grandview Street Parramatta 2150",3,2,2,568000,2012-12-17,-33.8101363991434,151.019607321834,1.5802553074409,"(1.5,1.75]"
"141","2/145-147 Pennant Street Parramatta 2150",3,2,1,515000,2012-12-04,-33.8063704100467,151.021512863702,1.96663045403046,"(1.75,2]"
"142","8/1-9 King Street Parramatta 2150",2,1,1,450000,2012-12-01,-33.8197845564316,150.996571672613,0.819928081183316,"(0.75,1]"
"143","1/68 Hassall Street Parramatta 2150",3,2,2,672000,2012-10-16,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"144","4/68 Hassall Street Parramatta 2150",3,2,2,625000,2012-10-16,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"145","5/36 Morton Street Parramatta 2150",3,2,2,525000,2012-10-09,-33.8099719042936,151.0184537205,1.50021657217248,"(1.5,1.75]"
"146","3/6 Glebe Street Parramatta 2150",2,2,1,445000,2012-10-01,-33.8202504226101,150.99662565207,0.832819266501264,"(0.75,1]"
"147","7/64-66 Hassall Street Parramatta 2150",2,1,1,390500,2012-10-01,-33.8181919948283,151.015728009406,0.995170927495807,"(0.75,1]"
"148","9/74-76 Pemberton Street Parramatta 2150",3,2,1,527000,2012-09-21,-33.8076615584119,151.021273057452,1.86141183900898,"(1.75,2]"
"149","4/1 Bobart Street Parramatta 2150",3,2,1,429000,2012-09-11,-33.8203053659854,150.997130410279,0.791984278028384,"(0.75,1]"
"150","7/64 Hassall Street Parramatta 2150",3,1,1,393000,2012-09-01,-33.8181919948283,151.015728009406,0.995170927495807,"(0.75,1]"
"151","7/148-152 Pennant Street Parramatta 2150",3,2,2,518000,2012-08-29,-33.8080076891035,151.018910031309,1.66486880547353,"(1.5,1.75]"
"152","4/11 Tennyson Street Parramatta 2150",2,1,1,462000,2012-08-22,-33.8121977605914,151.021100893161,1.60186042115702,"(1.5,1.75]"
"153","4/11-13 Tennyson Street Parramatta 2150",2,1,1,462000,2012-08-22,-33.8121977605914,151.021100893161,1.60186042115702,"(1.5,1.75]"
"154","8F/50-56 Victoria Road (Cnr of Brickfield St) Parramatta 2150",2,1,1,392000,2012-08-08,-33.809039379485,151.025544701102,2.12079283535103,"(2,2.25]"
"155","2/4 Broughton Street Parramatta 2150",3,2,2,515000,2012-06-28,-33.8130468892926,151.017447305386,1.25342167205437,"(1.25,1.5]"
"156","1/35 Victoria Road Parramatta 2150",3,1,1,430000,2012-06-25,-33.8093768310777,151.010170723782,1.02294368277426,"(1,1.25]"
"157","3/9 Mason Street Parramatta 2150",3,2,2,483000,2012-06-25,-33.8351876865305,150.97944878553,3.07572875399692,"(3,3.25]"
"158","2/25 O'Connell Street Parramatta 2150",2,2,1,360000,2012-06-12,-33.8053376757565,151.00231403066,1.37650779452063,"(1.25,1.5]"
"159","6/81-83 Thomas Street Parramatta 2150",3,2,2,547000,2012-06-05,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"160","6/81 Thomas Street Parramatta 2150",3,2,2,547000,2012-06-05,-33.8132067321861,151.020732424697,1.53154188964627,"(1.5,1.75]"
"161","7/68 Hassall Street Parramatta 2150",3,2,2,5e+05,2012-06-04,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"162","7/25 O'Connell Street Parramatta 2150",2,2,2,375000,2012-05-30,-33.8053031423154,151.002089228016,1.38418256702391,"(1.25,1.5]"
"163","6/46-48 Morton Street Parramatta 2150",4,2,2,583000,2012-05-04,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"164","6/46 Morton Street Parramatta 2150",4,2,2,583000,2012-05-04,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"165","10/47 Gladstone Street Parramatta 2150",3,2,2,560000,2012-04-20,-33.8021578750583,151.014599386144,1.92488674659925,"(1.75,2]"
"166","4/11-15 King Street Parramatta 2150",3,1,1,461000,2012-04-17,-33.8199216005485,150.996924550737,0.794015061817508,"(0.75,1]"
"167","4/11 King Street Parramatta 2150",3,1,1,461000,2012-04-17,-33.8199216005485,150.996924550737,0.794015061817508,"(0.75,1]"
"168","66 Marsden Street Parramatta 2150",4,1,1,510000,2012-04-14,-33.8218246278455,150.999058918561,0.730519223591541,"(0.5,0.75]"
"169","3/68 Hassall Street Parramatta 2150",3,2,2,675000,2012-03-01,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"170","8/68 Hassall Street Parramatta 2150",3,2,2,663000,2012-03-01,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"171","9/68 Hassall Street Parramatta 2150",3,2,2,665000,2012-03-01,-33.818232269873,151.016050712679,1.02527582396538,"(1,1.25]"
"172","24/1 Rangihou Crescent Parramatta 2150",3,3,2,495000,2012-03-01,-33.8148302230122,151.014644564602,0.940207523778094,"(0.75,1]"
"173","5/15 Grandview Street Parramatta 2150",3,3,1,483000,2012-02-29,-33.8094915793322,151.018966525336,1.56952885118375,"(1.5,1.75]"
"174","5/15-17 Grandview Street Parramatta 2150",3,3,1,483000,2012-02-29,-33.8094915793322,151.018966525336,1.56952885118375,"(1.5,1.75]"
"175","3/3-5 Irving Street Parramatta 2150",3,2,2,520000,2012-02-25,-33.8109924848243,151.021438348583,1.6841339044921,"(1.5,1.75]"
"176","3/3 Irving Street Parramatta 2150",3,2,2,520000,2012-02-25,-33.8109924848243,151.021438348583,1.6841339044921,"(1.5,1.75]"
"177","6/19 King Street Parramatta 2150",2,1,1,425000,2012-02-22,-33.8204193179591,150.998226511757,0.705718443580224,"(0.5,0.75]"
"178","2/125 Victoria Road Parramatta 2150",2,1,1,407000,2012-02-14,-33.8087686401833,151.014957628686,1.33900832619512,"(1.25,1.5]"
"179","4/46-48 Morton Street Parramatta 2150",4,2,2,567000,2012-02-10,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"180","4/46 Morton Street Parramatta 2150",4,2,2,567000,2012-02-10,-33.8092705066359,151.01843989036,1.54416370981398,"(1.5,1.75]"
"181","7/3-4 Teale Place Parramatta 2150",3,2,2,620000,2012-02-04,-33.8056807051439,151.016032523949,1.66504544042142,"(1.5,1.75]"
"182","3/2 Glebe Street Parramatta 2150",2,1,1,390500,2012-01-28,-33.8202988281009,150.996227260212,0.869106691628691,"(0.75,1]"
"183","11/75 Victoria Road Parramatta 2150",3,1,1,7e+05,2011-12-17,-33.8093028188726,151.013811403426,1.22345494855945,"(1,1.25]"
"184","1/46-48 Pemberton Street Parramatta 2150",4,2,2,540000,2011-12-01,-33.8102813641589,151.02096678271,1.68123876683314,"(1.5,1.75]"
"185","3/22 Grandview Street Parramatta 2150",3,2,2,590000,2011-12-01,-33.809303657063,151.019830448097,1.64741672735502,"(1.5,1.75]"
"186","9/36-40 Morton Street Parramatta 2150",3,2,2,5e+05,2011-11-18,-33.8097520469733,151.018316676383,1.50362536399962,"(1.5,1.75]"
