"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"127","5/13 St Johns Rd Auburn 2144",4,3,1,8e+05,2019-08-16,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"128","7/27-29 Hargrave Road Auburn 2144",4,3,2,650000,2019-08-08,-33.8604194362929,151.032031984549,1.27373600200917,"(1.25,1.5]"
"129","7/27-29 Hargrave Road Auburn 2144",4,2,2,650000,2019-08-07,-33.8604194362929,151.032031984549,1.27373600200917,"(1.25,1.5]"
"130","17 Castle St Auburn 2144",3,3,1,750000,2019-07-19,-33.873935632349,151.019801279073,3.02841212664484,"(3,3.25]"
"131","3/9 Raglan Road Auburn 2144",4,2,2,685000,2019-07-15,-33.873348438122,151.023006183572,2.8605959983696,"(2.5,3]"
"132","2/49 Harrow Road Auburn 2144",2,2,1,550000,2019-07-04,-33.8552561839368,151.03025376379,0.738153686626689,"(0.5,0.75]"
"133","5/273-275 Park road Auburn 2144",3,2,2,660000,2019-06-21,-33.8703318330787,151.025674562448,2.46679457924359,"(2.25,2.5]"
"134","7/23 Elsham Rd Auburn 2144",3,1,1,615000,2019-05-20,-33.8604346913567,151.034795749483,1.28491186134776,"(1.25,1.5]"
"135","2/5 New Street Auburn 2144",3,1,1,602000,2019-03-13,-33.864862096433,151.023547319241,1.96606938721746,"(1.75,2]"
"136","12/58-60 Helena St Auburn 2144",3,1,3,680000,2019-03-05,-33.8579107326725,151.030780650224,1.01110286128223,"(1,1.25]"
"137","84 Princeton CCT Auburn 2144",3,3,2,765000,2019-02-18,-33.8732660440138,151.018547933092,3.00948965050469,"(3,3.25]"
"138","3/17 St Johns Road Auburn 2144",3,1,1,622000,2019-02-05,-33.87121298065,151.02350582882,2.6207902088594,"(2.5,3]"
"139","10/21 Hargrave Road Auburn 2144",3,1,1,640000,2018-08-13,-33.8600562903378,151.032106751125,1.23296332852798,"(1,1.25]"
"140","5/11 Raglan Road Auburn 2144",3,2,2,717000,2018-08-06,-33.8734114281244,151.0226279921,2.87858254704074,"(2.5,3]"
"141","3/42 Helena St Auburn 2144",3,2,2,835000,2018-07-18,-33.8576023624547,151.032826840427,0.957634491947842,"(0.75,1]"
"142","15/17-21 Kirkham Road Auburn 2144",3,2,2,760000,2018-04-27,-33.8720158412457,151.020772993109,2.79662026797535,"(2.5,3]"
"143","1/202 Cumberland Road Auburn 2144",3,1,1,660000,2018-04-18,-33.8621313561975,151.023580679215,1.6967639939581,"(1.5,1.75]"
"144","2/42 Helena Street Auburn 2144",3,2,1,820000,2018-04-10,-33.8576023624547,151.032826840427,0.957634491947842,"(0.75,1]"
"145","28/18 Cockthorpe Rd Auburn 2144",4,2,3,809000,2018-02-02,-33.8606154470987,151.035989248676,1.32418855919735,"(1.25,1.5]"
"146","3/14 Queen Street Auburn 2144",3,2,1,675000,2017-12-20,-33.8562649040745,151.03589453317,0.854795975218101,"(0.75,1]"
"147","3/31-33 Elsham Road Auburn 2144",3,2,2,682000,2017-12-18,-33.8608035789155,151.034721653459,1.32471606993435,"(1.25,1.5]"
"148","6/1-3 Kennington Oval Auburn 2144",3,2,2,640000,2017-11-27,-33.8719987421632,151.021853839523,2.75632197280563,"(2.5,3]"
"149","29 COCKTHORPE ROAD Auburn 2144",4,3,2,886000,2017-11-18,-33.8602434582358,151.036894075124,1.3049433823572,"(1.25,1.5]"
"150","3/8-10 Edgar St Auburn 2144",4,2,2,858000,2017-11-08,-33.8555526518522,151.028095172266,0.854044083546,"(0.75,1]"
"151","3/58-60 Helena St Auburn 2144",3,1,1,745000,2017-11-06,-33.8573175034753,151.030955077629,0.943196857271077,"(0.75,1]"
"152","1/55-57 Susan St Auburn 2144",3,3,2,940000,2017-10-20,-33.8570242206832,151.032492234852,0.894047243702101,"(0.75,1]"
"153","6/55-57 Susan St Auburn 2144",4,3,2,885000,2017-10-18,-33.8570242206832,151.032492234852,0.894047243702101,"(0.75,1]"
"154","8/57 Harrow Road Auburn 2144",3,1,1,665000,2017-10-18,-33.8557431306018,151.030135746594,0.792949578737567,"(0.75,1]"
"155","13 Palace St Auburn 2144",3,2,2,765000,2017-10-14,-33.8743898895916,151.020526565155,3.0490492783111,"(3,3.25]"
"156","3 Castle St Auburn 2144",3,2,1,730000,2017-10-11,-33.8734620967291,151.01988811559,2.97691865463762,"(2.5,3]"
"157","4/128 Auburn Road Auburn 2144",3,1,1,670000,2017-09-27,-33.8588287606178,151.031904076707,1.09799955047668,"(1,1.25]"
"158","3/64 Harrow Rd Auburn 2144",3,2,1,680000,2017-09-18,-33.8574419747374,151.03055500939,0.964437100430219,"(0.75,1]"
"159","7/55-57 Susan St Auburn 2144",4,3,2,885000,2017-09-04,-33.8570242206832,151.032492234852,0.894047243702101,"(0.75,1]"
"160","5 Palace Street Auburn 2144",3,2,2,790000,2017-08-28,-33.8741180225621,151.020569564319,3.01951463288005,"(3,3.25]"
"161","8/55-57 Susan St Auburn 2144",4,3,2,895000,2017-08-24,-33.8570242206832,151.032492234852,0.894047243702101,"(0.75,1]"
"162","4/124-126 Auburn Rd Auburn 2144",3,3,2,835000,2017-08-14,-33.8583249663274,151.031805840801,1.04296714260109,"(1,1.25]"
"163","5/9 Raglan Road Auburn 2144",3,2,1,650000,2017-08-14,-33.873348438122,151.023006183572,2.8605959983696,"(2.5,3]"
"164","1/23 Elsham Road Auburn 2144",3,1,1,645000,2017-08-04,-33.8604346913567,151.034795749483,1.28491186134776,"(1.25,1.5]"
"165","7/69 Macquarie Rd Auburn 2144",3,3,1,680000,2017-07-21,-33.8436909177544,151.036498868389,0.678230620062844,"(0.5,0.75]"
"166","49 Station Rd Auburn 2144",3,3,1,515000,2017-07-05,-33.8468924694913,151.037517353444,0.487108474446538,"(0.25,0.5]"
"167","13/17 Macquarie Rd Auburn 2144",2,1,1,468000,2017-06-24,-33.8472476526384,151.033707275537,0.20886077581674,"(0,0.25]"
"168","7/2A Gordon Rd Auburn 2144",3,1,2,695000,2017-06-20,-33.8556445594205,151.026929836267,0.922896392670249,"(0.75,1]"
"169","2/75 Dartbrook Road Auburn 2144",2,1,1,470000,2017-06-19,-33.8472284161706,151.039104047715,0.606537590758241,"(0.5,0.75]"
"170","1/13 St Johns Rd Auburn 2144",4,2,1,832000,2017-06-09,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"171","12A/114 Auburn Road Auburn 2144",2,1,1,652000,2017-06-03,-33.8578299311259,151.031899131384,0.987288762362853,"(0.75,1]"
"172","12A/114-120 Auburn Road Auburn 2144",3,1,1,652000,2017-06-03,-33.8578299311259,151.031899131384,0.987288762362853,"(0.75,1]"
"173","5/13 St Johns Rd Auburn 2144",4,3,1,830000,2017-05-29,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"174","2/13 St Johns Rd Auburn 2144",4,2,2,850000,2017-05-29,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"175","4/165 Rawson Street Auburn 2144",3,2,1,740000,2017-05-27,-33.8467175810815,151.031100587468,0.303696394673208,"(0.25,0.5]"
"176","4/13 St Johns Rd Auburn 2144",4,3,2,850000,2017-05-19,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
"177","6/13 St Johns Rd Auburn 2144",4,3,1,820000,2017-05-19,-33.8712719473388,151.023935652815,2.61411894785623,"(2.5,3]"
